timestamp,year,month,region,application,metric,value
2025-07-20 05:35:00,2025,7,Gujarat,MobileApp,memory_usage,252.44
2023-07-23 05:12:00,2023,7,Gujarat,MobileApp,request_count,41.46
2023-05-17 10:53:00,2023,5,Maharashtra,WebApp,response_time,565.63
2025-11-08 18:41:00,2025,11,Rajasthan,WebApp,request_count,593.37
2023-01-10 11:08:00,2023,1,Maharashtra,Payment,memory_usage,285.09
2023-11-10 13:45:00,2023,11,Delhi,MobileApp,response_time,386.13
2024-06-06 19:14:00,2024,6,Delhi,API,response_time,732.43
2025-02-19 22:31:00,2025,2,Gujarat,Payment,response_time,556.52
2025-07-04 12:33:00,2025,7,Delhi,WebApp,response_time,55.37
2023-11-28 21:37:00,2023,11,Delhi,MobileApp,cpu_usage,867.82
2024-07-07 14:22:00,2024,7,Delhi,Payment,memory_usage,171.03
2024-06-01 09:36:00,2024,6,Maharashtra,API,response_time,613.04
2023-09-07 05:43:00,2023,9,Maharashtra,WebApp,request_count,385.66
2025-07-21 01:36:00,2025,7,Maharashtra,API,response_time,236.76
2023-02-16 17:59:00,2023,2,Delhi,Payment,memory_usage,75.53
2025-04-06 00:22:00,2025,4,Delhi,WebApp,request_count,401.68
2025-07-25 05:18:00,2025,7,Rajasthan,WebApp,memory_usage,148.23
2025-12-20 23:15:00,2025,12,Delhi,Payment,request_count,368.38
2023-07-21 11:02:00,2023,7,Rajasthan,MobileApp,response_time,862.49
2023-08-11 14:11:00,2023,8,Maharashtra,Payment,response_time,390.92
2025-05-17 19:48:00,2025,5,Rajasthan,API,response_time,683.48
2023-06-16 19:52:00,2023,6,Delhi,API,response_time,300.57
2023-08-19 08:00:00,2023,8,Rajasthan,MobileApp,memory_usage,972.17
2023-09-18 04:20:00,2023,9,Gujarat,API,cpu_usage,161.31
2023-08-24 06:32:00,2023,8,Gujarat,API,request_count,29.28
2024-06-12 15:05:00,2024,6,Delhi,WebApp,response_time,248.46
2025-04-06 06:33:00,2025,4,Gujarat,MobileApp,request_count,817.86
2025-02-14 19:25:00,2025,2,Maharashtra,WebApp,request_count,947.38
2023-08-29 11:36:00,2023,8,Delhi,Payment,cpu_usage,929.62
2025-11-29 00:56:00,2025,11,Maharashtra,API,request_count,995.2
2025-08-04 10:53:00,2025,8,Delhi,Payment,request_count,129.79
2023-11-24 05:44:00,2023,11,Gujarat,API,response_time,592.43
2023-12-02 03:05:00,2023,12,Maharashtra,MobileApp,response_time,710.76
2023-03-27 17:47:00,2023,3,Maharashtra,MobileApp,response_time,861.04
2023-04-14 04:38:00,2023,4,Maharashtra,API,request_count,222.09
2023-07-12 16:38:00,2023,7,Rajasthan,WebApp,request_count,809.42
2023-10-05 07:18:00,2023,10,Gujarat,MobileApp,request_count,360.75
2024-08-21 17:03:00,2024,8,Rajasthan,MobileApp,response_time,70.01
2025-11-26 12:54:00,2025,11,Delhi,MobileApp,cpu_usage,199.67
2025-02-20 00:32:00,2025,2,Rajasthan,WebApp,request_count,191.65
2024-11-04 18:01:00,2024,11,Maharashtra,MobileApp,request_count,809.94
2025-03-12 11:15:00,2025,3,Gujarat,MobileApp,response_time,969.31
2023-12-11 06:03:00,2023,12,Maharashtra,Payment,request_count,486.54
2024-08-07 01:22:00,2024,8,Gujarat,WebApp,request_count,12.13
2024-07-22 14:13:00,2024,7,Delhi,Payment,memory_usage,428.78
2025-11-29 21:00:00,2025,11,Rajasthan,WebApp,cpu_usage,303.74
2023-03-27 04:08:00,2023,3,Gujarat,API,response_time,59.64
2024-11-25 08:57:00,2024,11,Maharashtra,MobileApp,response_time,852.83
2023-04-10 18:59:00,2023,4,Gujarat,WebApp,request_count,128.69
2025-04-09 15:35:00,2025,4,Maharashtra,MobileApp,response_time,425.03
2025-04-30 00:49:00,2025,4,Delhi,API,cpu_usage,673.03
2024-04-02 13:31:00,2024,4,Maharashtra,API,request_count,139.57
2025-07-29 01:53:00,2025,7,Delhi,Payment,memory_usage,929.73
2023-04-16 15:33:00,2023,4,Gujarat,Payment,response_time,82.53
2023-11-07 10:16:00,2023,11,Delhi,WebApp,memory_usage,882.06
2023-12-22 18:21:00,2023,12,Delhi,API,cpu_usage,443.8
2025-03-02 02:50:00,2025,3,Delhi,MobileApp,memory_usage,932.44
2023-05-31 20:36:00,2023,5,Maharashtra,API,response_time,890.82
2025-12-17 05:20:00,2025,12,Maharashtra,API,memory_usage,608.78
2025-11-11 02:21:00,2025,11,Delhi,WebApp,memory_usage,510.35
2024-01-01 17:19:00,2024,1,Gujarat,MobileApp,request_count,831.05
2023-03-06 04:56:00,2023,3,Gujarat,API,cpu_usage,640.74
2024-01-17 12:00:00,2024,1,Maharashtra,Payment,request_count,565.3
2023-06-12 22:16:00,2023,6,Gujarat,WebApp,response_time,836.25
2025-04-28 08:11:00,2025,4,Maharashtra,Payment,cpu_usage,51.41
2024-06-15 01:29:00,2024,6,Gujarat,API,cpu_usage,685.25
2025-08-29 07:00:00,2025,8,Gujarat,API,request_count,974.1
2025-12-27 12:08:00,2025,12,Maharashtra,WebApp,cpu_usage,976.44
2023-09-15 20:25:00,2023,9,Rajasthan,MobileApp,cpu_usage,739.2
2024-04-28 18:43:00,2024,4,Rajasthan,WebApp,memory_usage,167.61
2025-10-18 07:26:00,2025,10,Gujarat,Payment,response_time,860.01
2023-11-20 22:37:00,2023,11,Maharashtra,Payment,memory_usage,312.14
2023-11-28 11:02:00,2023,11,Maharashtra,MobileApp,cpu_usage,404.48
2024-02-10 17:52:00,2024,2,Gujarat,API,memory_usage,645.07
2024-08-05 01:46:00,2024,8,Delhi,MobileApp,response_time,878.27
2024-01-16 10:07:00,2024,1,Maharashtra,API,response_time,117.32
2024-09-24 21:06:00,2024,9,Delhi,API,request_count,610.15
2025-01-14 19:31:00,2025,1,Gujarat,Payment,cpu_usage,262.18
2025-10-29 05:50:00,2025,10,Rajasthan,MobileApp,cpu_usage,370.58
2023-04-12 21:45:00,2023,4,Delhi,API,response_time,722.56
2024-03-13 09:01:00,2024,3,Delhi,Payment,memory_usage,408.38
2024-03-06 13:53:00,2024,3,Maharashtra,WebApp,request_count,668.28
2024-07-06 04:05:00,2024,7,Maharashtra,API,request_count,552.46
2023-01-01 14:11:00,2023,1,Delhi,API,cpu_usage,435.59
2025-04-24 15:56:00,2025,4,Delhi,Payment,request_count,447.74
2023-11-08 05:24:00,2023,11,Rajasthan,WebApp,response_time,290.95
2025-08-24 19:22:00,2025,8,Delhi,MobileApp,cpu_usage,676.07
2023-11-24 03:45:00,2023,11,Maharashtra,WebApp,response_time,55.75
2024-11-22 23:13:00,2024,11,Gujarat,Payment,request_count,887.28
2025-04-18 09:09:00,2025,4,Maharashtra,Payment,request_count,405.66
2023-08-03 21:59:00,2023,8,Gujarat,MobileApp,request_count,226.65
2025-10-10 11:52:00,2025,10,Rajasthan,MobileApp,cpu_usage,918.3
2023-06-26 17:47:00,2023,6,Rajasthan,WebApp,request_count,670.9
2025-03-24 23:51:00,2025,3,Delhi,Payment,request_count,832.26
2025-03-08 21:30:00,2025,3,Rajasthan,WebApp,request_count,455.57
2025-12-30 20:30:00,2025,12,Maharashtra,API,request_count,630.48
2024-02-04 21:52:00,2024,2,Rajasthan,MobileApp,memory_usage,242.15
2024-05-04 02:43:00,2024,5,Delhi,MobileApp,cpu_usage,159.32
2024-07-11 20:03:00,2024,7,Maharashtra,WebApp,response_time,420.72
2024-04-26 21:08:00,2024,4,Rajasthan,Payment,response_time,214.77
2024-09-03 21:04:00,2024,9,Rajasthan,MobileApp,request_count,482.21
2024-05-27 06:51:00,2024,5,Delhi,Payment,request_count,542.84
2025-12-05 21:19:00,2025,12,Maharashtra,Payment,cpu_usage,280.21
2024-12-08 06:25:00,2024,12,Gujarat,Payment,memory_usage,672.18
2024-08-11 19:53:00,2024,8,Maharashtra,Payment,cpu_usage,980.91
2025-02-16 20:58:00,2025,2,Gujarat,Payment,response_time,93.11
2024-09-16 05:06:00,2024,9,Maharashtra,Payment,cpu_usage,59.78
2024-07-06 02:38:00,2024,7,Delhi,WebApp,request_count,333.58
2024-07-06 03:25:00,2024,7,Delhi,Payment,memory_usage,836.56
2024-11-15 22:24:00,2024,11,Gujarat,MobileApp,memory_usage,231.98
2023-04-10 22:23:00,2023,4,Gujarat,MobileApp,cpu_usage,207.37
2023-01-30 16:19:00,2023,1,Maharashtra,WebApp,cpu_usage,478.83
2023-06-16 14:12:00,2023,6,Maharashtra,Payment,memory_usage,769.23
2023-09-02 08:39:00,2023,9,Gujarat,WebApp,memory_usage,117.02
2023-02-07 09:31:00,2023,2,Delhi,Payment,request_count,942.06
2023-10-16 20:07:00,2023,10,Gujarat,WebApp,response_time,700.22
2024-03-15 05:04:00,2024,3,Gujarat,MobileApp,memory_usage,537.42
2025-08-21 09:50:00,2025,8,Delhi,MobileApp,memory_usage,22.53
2024-09-03 18:07:00,2024,9,Rajasthan,MobileApp,request_count,961.18
2025-07-14 15:18:00,2025,7,Rajasthan,WebApp,request_count,184.38
2025-01-29 20:22:00,2025,1,Delhi,Payment,request_count,441.22
2025-11-30 15:13:00,2025,11,Delhi,API,cpu_usage,832.42
2023-05-07 05:05:00,2023,5,Delhi,Payment,cpu_usage,752.97
2025-04-09 21:41:00,2025,4,Rajasthan,API,response_time,499.36
2024-04-18 08:04:00,2024,4,Maharashtra,Payment,cpu_usage,361.28
2024-01-12 06:04:00,2024,1,Delhi,API,memory_usage,560.23
2025-01-22 09:25:00,2025,1,Maharashtra,MobileApp,cpu_usage,722.87
2024-12-12 13:02:00,2024,12,Maharashtra,Payment,request_count,453.69
2023-01-26 02:41:00,2023,1,Gujarat,API,cpu_usage,410.36
